section,descriçao,Tipo,valor,quartos,banheiros,metros_quadrados,vagas_carro,cidade,bairro,data de postagem
17,Vendo Casa (pé na areia) em frente ao mar na praia de Caponga - CE,casa,440.000,5,4,,,Cascavel,,25-08-2024  12:07
18,Duplex em rua privativa com 4 suites,casa,650.069,4,4,135,,Eusébio,,25-08-2024  11:50
19,Casa plana em rua sem saída a 100m da Av Maestro Lisboa,casa,275.007,2,2,59,,Eusébio,,25-08-2024  11:50
20,Mansão exclusiva em condominio integrado ao verde no Centro do Eusébio,casa,3.700.370,5,5,441,,Eusébio,,25-08-2024  11:49
21,Casa plana no Eusébio com 3 quartos com preço de oportunidade,casa,270.005,3,2,72,,Eusébio,,25-08-2024  11:49
22,"Vendo excelente casa de 180m², recém reformada, com 3 quartos e 2 suítes conjugadas",casa,240.000,3,2,180,,Fortaleza, Quintino Cunha,25-08-2024  11:46
23,"Casa com 2 quarto, banheiro, cozinha e sala americana",casa,70.000,2,1,,,Paracuru,,25-08-2024  11:44
24,Vendo Casa Duplex 165m² - 4 Quartos - Parquelândia / Amadeu Furtado,casa,650.000,4,4,165,1,Fortaleza, Amadeu Furtado,25-08-2024  11:39
25,Vende-se casa com ponto comercial,casa,300.000,4,2,,,Fortaleza, Aerolândia,25-08-2024  11:27
26,Casa no Henrique Jorge,casa,460.000,5,5,400,,Fortaleza, Henrique Jorge,25-08-2024  11:25
27,Casa no centro do eusébio,casa,480.000,3,2,117,,Eusébio, Centro,25-08-2024  11:08
28,"Casa Plana no Eusébio, próximo ao Centro",casa,185.000,2,2,64,,Eusébio,,25-08-2024  10:50
29,"Imóvel comercial à venda, 247 m² por R$ 880.000 - Aldeota - Fortaleza/CE",casa,880.000,5,3,247,,Fortaleza, Aldeota,25-08-2024  10:50
30,Casa em Cond. Fechado Lagoa Redonda,casa,580.000,4,5,195,,Fortaleza, Lagoa Redonda,25-08-2024  10:40
31,"Casa Alphaville Fortasleza com 4 dormitórios à venda, 400 m² por R$ 5.700.000 - Cararu - E",casa,5.700.000,4,5,400,,Eusébio,,25-08-2024  10:36
